age,job,marital,education,default,housing,loan,contact,month,day_of_week,campaign,pdays,previous,poutcome,emp_var_rate,cons_price_idx,cons_conf_idx,euribor3m,nr_employed
56,4,2,2,0,0,0,1,5,1,1,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
57,8,2,5,-1,0,0,1,5,1,1,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
37,8,2,5,0,1,0,1,5,1,1,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
40,1,2,3,0,0,0,1,5,1,1,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
56,8,2,5,0,0,1,1,5,1,1,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
45,8,2,4,-1,0,0,1,5,1,1,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
59,1,2,7,0,0,0,1,5,1,1,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
41,2,2,-1,-1,0,0,1,5,1,1,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
24,10,1,7,0,1,0,1,5,1,1,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
25,8,1,5,0,1,0,1,5,1,1,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
41,2,2,-1,-1,0,0,1,5,1,1,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
25,8,1,5,0,1,0,1,5,1,1,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
29,2,1,5,0,0,1,1,5,1,1,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
57,4,3,2,0,1,0,1,5,1,1,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
35,2,2,3,0,1,0,1,5,1,1,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
54,6,2,4,-1,1,1,1,5,1,1,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
35,2,2,3,0,1,0,1,5,1,1,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
46,2,2,3,-1,1,1,1,5,1,1,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
50,2,2,4,0,1,1,1,5,1,1,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
39,5,1,4,-1,0,0,1,5,1,1,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
30,11,2,5,0,0,0,1,5,1,1,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
55,2,2,2,-1,1,0,1,5,1,1,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
55,6,1,5,0,1,0,1,5,1,1,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
41,10,1,5,0,1,0,1,5,1,1,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
37,1,2,5,0,1,0,1,5,1,1,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
35,10,2,6,0,0,1,1,5,1,1,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
59,10,2,-1,0,1,0,1,5,1,1,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
39,7,2,4,-1,0,0,1,5,1,1,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
54,10,1,6,-1,0,0,1,5,1,2,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
55,-1,2,6,-1,-1,-1,1,5,1,1,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
46,1,2,-1,0,0,0,1,5,1,1,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
59,10,2,-1,0,1,0,1,5,1,1,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
49,2,2,-1,0,0,0,1,5,1,1,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
54,5,2,2,-1,1,0,1,5,1,1,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
54,2,3,2,0,0,0,1,5,1,1,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
55,-1,2,2,-1,1,0,1,5,1,1,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
34,8,2,5,0,0,0,1,5,1,1,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
52,10,2,4,0,1,0,1,5,1,1,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
41,1,2,6,0,1,0,1,5,1,1,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
56,10,2,2,0,1,0,1,5,1,1,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
58,5,-1,6,0,1,0,1,5,1,1,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
32,3,2,5,0,1,0,1,5,1,1,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
38,1,1,7,0,0,0,1,5,1,1,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
57,1,2,6,0,0,1,1,5,1,1,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
44,1,2,6,-1,1,0,1,5,1,1,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
42,10,1,7,-1,0,0,1,5,1,1,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
57,1,2,6,0,1,1,1,5,1,1,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
40,2,2,4,0,0,1,1,5,1,1,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
35,1,2,6,0,1,0,1,5,1,1,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
45,2,2,4,0,1,0,1,5,1,2,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
54,1,2,5,0,0,0,1,5,1,1,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
39,4,2,2,0,0,1,1,5,1,1,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
60,1,2,5,0,0,0,1,5,1,1,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
53,1,1,7,0,0,0,1,5,1,1,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
55,2,2,2,-1,0,0,1,5,1,2,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
55,10,2,7,-1,1,0,1,5,1,1,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
50,5,2,6,-1,0,1,1,5,1,1,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
45,8,2,5,-1,1,0,1,5,1,1,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
55,11,2,7,-1,1,1,1,5,1,1,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
25,10,1,6,0,1,0,1,5,1,1,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
47,3,2,6,-1,0,0,1,5,1,1,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
51,2,2,4,0,1,0,1,5,1,1,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
42,2,2,3,-1,1,0,1,5,1,1,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
42,2,2,3,-1,0,0,1,5,1,1,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
48,1,2,5,0,0,0,1,5,1,1,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
37,1,2,6,0,0,0,1,5,1,1,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
44,2,1,4,0,1,0,1,5,1,1,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
33,1,2,-1,0,1,0,1,5,1,1,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
56,1,2,4,0,1,0,1,5,1,2,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
44,2,1,2,-1,1,1,1,5,1,1,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
41,5,2,3,0,0,0,1,5,1,1,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
44,5,3,6,0,1,0,1,5,1,1,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
47,1,2,6,-1,1,0,1,5,1,1,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
57,-1,2,-1,-1,0,0,1,5,1,1,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
37,1,2,6,-1,1,0,1,5,1,1,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
41,2,3,2,-1,1,0,1,5,1,1,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
55,10,2,6,0,0,0,1,5,1,1,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
33,8,2,5,-1,1,0,1,5,1,2,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
55,5,2,-1,-1,1,0,1,5,1,1,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
42,2,2,4,-1,0,0,1,5,1,1,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
50,2,2,2,-1,1,0,1,5,1,1,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
51,2,2,2,-1,-1,-1,1,5,1,1,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
38,1,2,5,-1,0,0,1,5,1,2,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
49,3,2,6,-1,1,0,1,5,1,1,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
38,10,1,6,0,0,1,1,5,1,1,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
31,1,3,5,0,0,0,1,5,1,1,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
41,5,2,3,0,0,0,1,5,1,2,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
39,1,2,6,0,1,1,1,5,1,1,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
49,10,2,4,0,0,0,1,5,1,1,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
34,1,2,5,0,1,0,1,5,1,2,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
35,1,2,6,0,1,0,1,5,1,2,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
57,-1,2,-1,-1,1,0,1,5,1,1,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
60,1,2,-1,-1,0,1,1,5,1,2,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
33,11,2,4,0,0,0,1,5,1,1,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
42,2,2,3,0,0,1,1,5,1,1,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
45,8,2,7,0,1,0,1,5,1,1,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
42,5,2,6,0,0,0,1,5,1,1,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
53,1,3,6,-1,0,0,1,5,1,1,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
37,10,1,7,0,0,0,1,5,1,1,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
44,2,2,3,0,0,0,1,5,1,1,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
54,8,2,-1,0,1,0,1,5,1,1,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
49,2,2,2,0,0,0,1,5,1,3,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
54,8,2,-1,0,0,0,1,5,1,1,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
52,1,3,6,0,0,0,1,5,1,1,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
52,1,3,6,0,0,0,1,5,1,1,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
43,8,1,5,-1,0,0,1,5,1,1,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
34,4,2,3,0,1,0,1,5,1,2,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
35,1,2,5,0,1,0,1,5,1,2,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
42,3,2,-1,-1,1,0,1,5,1,1,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
43,10,2,-1,-1,1,1,1,5,1,1,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
60,6,3,6,-1,0,0,1,5,1,1,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
58,11,2,2,-1,0,0,1,5,1,2,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
35,8,3,5,0,1,0,1,5,1,1,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
55,2,2,4,-1,1,0,1,5,1,2,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
37,5,2,6,0,0,0,1,5,1,2,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
36,2,2,5,0,0,0,1,5,1,1,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
52,1,3,6,0,0,0,1,5,1,2,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
57,2,3,-1,-1,1,0,1,5,1,1,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
56,1,2,-1,0,1,0,1,5,1,1,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
48,2,3,2,-1,1,0,1,5,1,1,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
40,2,2,5,-1,1,0,1,5,1,1,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
49,2,3,5,0,0,0,1,5,1,1,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
41,8,2,5,0,0,0,1,5,1,1,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
45,10,2,5,0,1,0,1,5,1,1,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
32,1,2,6,0,1,1,1,5,1,1,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
42,1,2,6,0,0,1,1,5,1,2,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
50,1,2,3,0,0,0,1,5,1,1,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
31,10,3,7,0,1,1,1,5,1,1,-1,0,-1,1.1,93.994,-36.4,4.857,5191.0
